publishedtime,desc,likes,reposts,views,replies,bookmarks,tweeturl,contenturl
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151140,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Mon Jan 29 15:56:22 +0000 2024,"🗺️ OXXXYMIRON В АФРИКЕ | ОХОТА НА ПИНГВИНОВ | ГЕТТО И СТРАУСЫ

дневник на 20+ минут:

https://t.co/AeEBZQkhRq

только что закончился концерт в токио, мировой тур завершен, по этому поводу дропаю видос из кейптауна, хэв фан! https://t.co/a22nRt7tYr",490,22,47214,37,6,https://x.com/norimyxxxo/status/1751997721974882583,https://pbs.twimg.com/amplify_video_thumb/1751997649119825920/img/pM0OhuIzk3nwR0UQ.jpg
Mon Jan 29 05:44:28 +0000 2024,"Токио салют, обязательно сегодня имейте при себе паспорт, без него вас могут не пустить на концерт",289,7,57493,7,2,https://x.com/norimyxxxo/status/1751843731815489644,None
Sun Jan 28 04:55:03 +0000 2024,https://t.co/NElSz01tJ5 https://t.co/ZM04zUUhDL,222,6,28932,7,1,https://x.com/norimyxxxo/status/1751468911844085877,https://pbs.twimg.com/amplify_video_thumb/1751468856865075200/img/tJiK3f1F0HxanJRA.jpg
Sat Jan 27 18:52:18 +0000 2024,сеул https://t.co/ShnfVjadUd,460,13,35485,16,6,https://x.com/norimyxxxo/status/1751317223686484002,https://pbs.twimg.com/amplify_video_thumb/1751317142061162497/img/OhvKYpPY0OWDI05x.jpg
Wed Jan 24 04:15:38 +0000 2024,"финальные 2 концерта мирового тура: Южная Корея и Япония

и потом перестаю спамить рекламой

СЕУЛ почти распродан, но еще немного билетов есть

ТОКИО финальный концерт, будут эмоции через край и полнейший отрыв, берите билеты без сомнений

https://t.co/NElSz01tJ5 https://t.co/28DlPVxUrk",345,9,31549,23,1,https://x.com/norimyxxxo/status/1750009439929954780,https://pbs.twimg.com/media/GElIS12bAAAh849.jpg
Mon Jan 22 10:26:49 +0000 2024,"я на краю света, прилетел из Мельбурна в Сидней 🦘

завтра концерт
https://t.co/NElSz01tJ5

а потом Сеул, Южная Корея.
там, как и завтра, почти все распродано, так что если хотите попасть — берите билеты сейчас https://t.co/BQRhkUSyq7",593,7,34916,21,0,https://x.com/norimyxxxo/status/1749378075903893970,https://pbs.twimg.com/media/GEcKFW4agAAcLjF.jpg
Fri Jan 19 04:49:37 +0000 2024,"все дальше от знакомых мест 🗺️

впереди Австралия, Корея, Япония

билеты: https://t.co/NElSz01tJ5 https://t.co/M8fQz2xkww",338,9,27815,27,1,https://x.com/norimyxxxo/status/1748206052343165048,https://pbs.twimg.com/media/GELgIlwasAA3wfK.jpg
Wed Jan 17 12:58:47 +0000 2024,"ок, blp kosher мнения",294,6,45131,38,3,https://x.com/norimyxxxo/status/1747604380927549448,None
Mon Jan 15 01:57:45 +0000 2024,lil mabu мнения,331,4,52938,39,3,https://x.com/norimyxxxo/status/1746713249092145259,None
Sun Jan 07 14:26:15 +0000 2024,"11 января в царстве материализма

билеты: https://t.co/NElSz00VTx https://t.co/qJtBPjrf2p",391,9,34657,19,1,https://x.com/norimyxxxo/status/1744002513861320746,https://pbs.twimg.com/media/GDPxBpEXcAAXnUp.jpg
Sat Jan 06 21:36:17 +0000 2024,"дал пиздатый концерт в африке, сижу, ем мясо страуса",1993,25,120810,88,10,https://x.com/norimyxxxo/status/1743748346357883274,None
Thu Jan 04 18:24:07 +0000 2024,переизбыток https://t.co/iPRXbk6GrP,1689,38,60396,44,5,https://x.com/norimyxxxo/status/1742975211023024622,https://pbs.twimg.com/media/GDBKtOHWcAA0Ggm.jpg
Sun Dec 31 22:18:15 +0000 2023,го тг: https://t.co/O1bYP6wxln https://t.co/jSB9iu1OE2,1008,22,44921,26,6,https://x.com/norimyxxxo/status/1741584581160206624,https://pbs.twimg.com/media/GCtZ7xda0AAkFMf.jpg
Sun Dec 24 14:03:28 +0000 2023,"Oxxxymiron — Аргентина, США, Канада (World Tour 2023)

https://t.co/RuiWG88ecY

финальный туровый видос этого года с хай фэшн, нью барс и олд френдз

билеты на январскую экзотику:
https://t.co/NElSz01tJ5 https://t.co/WYvBuoZTmF",469,28,51532,45,3,https://x.com/norimyxxxo/status/1738923348460290322,https://pbs.twimg.com/media/GCHlkItbYAAvXkh.jpg
Fri Dec 22 17:54:11 +0000 2023,"первый большой релиз от брателло Порчи @kingporchy за долгие годы — вторая часть мелодичного The Hook, долгострой, демки с которого я гоняю уже триллион лет. наблюдайте за эволюцией артиста 👑",340,12,48942,8,6,https://x.com/norimyxxxo/status/1738256634659680402,None
Wed Dec 20 11:02:22 +0000 2023,"внимание: двухнедельный переучет оксимирона успешно завершен. 

(либо пятилетний, смотря, как посмотреть.)

понадобится ли эта процедура снова? не исключено.

ПЕРЕУЧЕТ непобедим, идет своим чередом, и продолжит публиковать полезные в быту материалы: @pereuchyot 

не удивляйтесь, https://t.co/p7jK922DmT",677,22,66842,38,25,https://x.com/norimyxxxo/status/1737428220834697674,https://pbs.twimg.com/amplify_video_thumb/1737428078199013376/img/4Ei2kh142eYOBNv7.jpg
Tue Dec 19 16:36:28 +0000 2023,"Продукт нележалый!

Предзаказ винила ПЕРЕУЧЕТ закрывается в ночь со среды (20 декабря) на четверг, в 00:00 по мск. Оставшиеся пластинки уходят в коллекции наших друзей и родственников.

«Семейный альбом» больше не будет производиться на виниле, так что это последний шанс https://t.co/jL0T1zSJj4",283,8,31887,9,2,https://x.com/norimyxxxo/status/1737149914319028731,https://pbs.twimg.com/amplify_video_thumb/1737149806844182528/img/Gjf4o-ne2aGlJWaq.jpg
Sat Dec 16 19:15:28 +0000 2023,"Наш винил + футболки:

https://t.co/G7ZmXazZ96 https://t.co/Y79DolhPEG",525,12,39646,19,1,https://x.com/norimyxxxo/status/1736102763233177699,https://pbs.twimg.com/media/GBfgQPzXMAEsohk.jpg
Sat Dec 16 16:26:57 +0000 2023,"АЛЬБОМ ВЕЗДЕ

вкл. спотифай:

https://t.co/CqUN7Zry9r https://t.co/e8UgSTl9yc",444,23,32358,16,4,https://x.com/norimyxxxo/status/1736060355703447819,https://pbs.twimg.com/amplify_video_thumb/1736059801828786177/img/z9CHbqHja7OPR8jW.jpg
Sat Dec 16 11:43:10 +0000 2023,https://t.co/oQWi8rZbpP,648,13,36990,17,6,https://x.com/norimyxxxo/status/1735988936843923586,https://pbs.twimg.com/media/GBd4ugPXEAARPlE.jpg
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151140,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Fri Dec 15 17:03:21 +0000 2023,"ПЕРЕУЧЕТ — Семейный альбом (2023)

https://t.co/s2wIYDpfBs

Постепенно на всех цифровых площадках. 

Музыка, слова, вокал, продакшн:
Мирон Федоров, Слава Лобанов https://t.co/KUkGs5FWRS",957,73,87769,53,11,https://x.com/norimyxxxo/status/1735707125689557315,https://pbs.twimg.com/media/GBZ4alrW8AAt59_.jpg
Fri Dec 15 10:16:56 +0000 2023,"Предзаказ винила ""Семейный альбом"": 

https://t.co/G7ZmXazZ96 https://t.co/BH3k5fQC4h",353,8,33818,14,0,https://x.com/norimyxxxo/status/1735604847171223986,https://pbs.twimg.com/media/GBYbZ_PWcAACmZj.jpg
Fri Dec 15 10:03:44 +0000 2023,"ПЕРЕУЧЕТ — ЗАХОДИ СКОРЕЕ

Посмотрите на свежую голову и поддержите начинающий коллектив!

https://t.co/CHbpozri5G https://t.co/TyV6wb7PR6",514,27,39237,17,5,https://x.com/norimyxxxo/status/1735601528499503439,https://pbs.twimg.com/amplify_video_thumb/1735601187016015872/img/v41NGqYIUc0FGb2e.jpg
Thu Dec 14 18:04:01 +0000 2023,"ПЕРЕУЧЕТ — ЗАХОДИ СКОРЕЕ (КЛИП 2023)

https://t.co/CHbpozri5G

Семейный альбом — 15 декабря 2023 https://t.co/ByKUhxmbjG",501,31,36851,28,3,https://x.com/norimyxxxo/status/1735360006030000534,https://pbs.twimg.com/amplify_video_thumb/1735359811112280064/img/zRmF5Aqyg3c0SPpr.jpg
Wed Dec 13 13:42:59 +0000 2023,"ПЕРЕУЧЕТ. Глава 8: сервиз

https://t.co/siDhMh9Rcx

Семейный альбом — 15 декабря https://t.co/tAKYKiC0w6",329,22,30135,11,0,https://x.com/norimyxxxo/status/1734931927574999472,https://pbs.twimg.com/amplify_video_thumb/1734931787267092480/img/HHb7UeG6UwskJ8Cx.jpg
Tue Dec 12 12:29:40 +0000 2023,"ПЕРЕУЧЕТ. Глава 7: разлад

https://t.co/8VEtyLD7Pa https://t.co/S9MXqTnk7h",367,20,30732,9,2,https://x.com/norimyxxxo/status/1734551089284853841,https://pbs.twimg.com/amplify_video_thumb/1734551026982670336/img/jWHaazQiIDvAqyvQ.jpg
Mon Dec 11 12:08:46 +0000 2023,"ПЕРЕУЧЕТ. Глава 6: суп

https://t.co/TI2pjs2QKm https://t.co/nZqPoZqcgR",350,17,32175,12,1,https://x.com/norimyxxxo/status/1734183439052439785,https://pbs.twimg.com/amplify_video_thumb/1734183322731872257/img/2YYOFXePNIm1ZZD-.jpg
Sun Dec 10 12:15:47 +0000 2023,"ПЕРЕУЧЕТ. Глава 5: все сразу

https://t.co/Gb4vbKkErb https://t.co/wfgy1HuyB4",323,18,31699,13,0,https://x.com/norimyxxxo/status/1733822818008150281,https://pbs.twimg.com/amplify_video_thumb/1733822621647605760/img/eJScIMEND5VRExY5.jpg
Sat Dec 09 12:43:27 +0000 2023,"ПЕРЕУЧЕТ. Глава 4: ингредиенты

https://t.co/xHC1lXIG9Y https://t.co/N3iAZkoZOv",373,24,38830,16,1,https://x.com/norimyxxxo/status/1733467394662679038,https://pbs.twimg.com/amplify_video_thumb/1733467254149246976/img/D-w6P6x-v45LuDel.jpg
Fri Dec 08 12:13:48 +0000 2023,"Глава 3.
Oxxxymiron закрыт на ПЕРЕУЧЕТ

https://t.co/CmwrW3tHGw https://t.co/3DnQNDdOr2",547,26,41364,23,6,https://x.com/norimyxxxo/status/1733097544438157728,https://pbs.twimg.com/amplify_video_thumb/1733097409549402112/img/Ey7ByakE1wVFtxkf.jpg
Thu Dec 07 12:08:35 +0000 2023,"Глава 2

https://t.co/TJ30wq1x7k https://t.co/4MuSHICYsm",455,22,39288,25,3,https://x.com/norimyxxxo/status/1732733842362949904,https://pbs.twimg.com/amplify_video_thumb/1732733709772607488/img/ir-e4Z7Hho36WoIj.jpg
Wed Dec 06 12:16:44 +0000 2023,"Глава 1

https://t.co/ozrvsXOoPT https://t.co/c4NTweFMZP",587,21,70339,51,17,https://x.com/norimyxxxo/status/1732373506359210242,https://pbs.twimg.com/amplify_video_thumb/1732373334199824384/img/V7fthe4KF-gWvyCu.jpg
Tue Dec 05 14:18:45 +0000 2023,"напоминалка: январь близко

финал мирового тура

https://t.co/NElSz01tJ5 🌐 https://t.co/Sd2AKuxMcq",281,4,29679,23,0,https://x.com/norimyxxxo/status/1732041826012713466,https://pbs.twimg.com/media/GAly2wsbYAACN8D.jpg
Mon Nov 27 13:29:26 +0000 2023,"Большие мувы: добавляем в мировой тур ЮЖНУЮ КОРЕЮ и ЯПОНИЮ 🫢

Сеул и Токио — заключительные и самые экзотические города мирового тура, больше города и страны добавляться не будут!!
(и так уже ДОХУЯ)

очень предвкушаю эти два концерта

билеты на https://t.co/NElSz00VTx 🌐🪩🌏 https://t.co/ObQkIblcnU",598,15,72160,29,6,https://x.com/norimyxxxo/status/1729130312343359532,https://pbs.twimg.com/media/F_8a2bhXMAAxiCw.jpg
Tue Nov 14 09:36:40 +0000 2023,"ДОПОЛНИТЕЛЬНЫЙ КОНЦЕРТ: ПХУКЕТ

йо ребзя! 
добавляем к мировому туру концерт 13 января на Пхукете, пригоняйте, будет экзотический дансинг! 

вы наверняка уже видели, что наши шоу это полный разнос, горжусь ими пиздец, честно говоря

билеты — на https://t.co/NElSz00VTx 

там же https://t.co/vThzEaApXe",523,17,61918,34,2,https://x.com/norimyxxxo/status/1724360690201166161,https://pbs.twimg.com/media/F-4hbfIWgAAOnct.jpg
Sat Nov 04 15:01:29 +0000 2023,"ТОРОНТО И ВТОРАЯ ЧАСТЬ МИРОВОГО ТУРА — ☑️

довольны пиздец как! 
отдельное спасибо всем, кто отслеживал концертный движ дистанционно 🖤

промежуточные итоги можно чекнуть у меня в тг-канале: /norimyxxxo 

кстати, там наконец заработала модерация, так что велкам

🌍 https://t.co/1CPydEOSUF",505,12,41170,26,0,https://x.com/norimyxxxo/status/1720818554398769640,https://pbs.twimg.com/media/F-GRMNCWgAAloah.jpg
Thu Nov 02 23:55:02 +0000 2023,"Торонто, внимание! 

завтра у вас концерт (причем заключительный в этой части мирового тура).
билеты почти распроданы, так что лучше закажите онлайн, чтобы не было такого, что вам на входе не хватило:

https://t.co/NElSz00VTx https://t.co/2gjBshILsY",302,6,32696,12,0,https://x.com/norimyxxxo/status/1720228051466768531,https://pbs.twimg.com/media/F995W3OXkAAF8xZ.jpg
Wed Nov 01 18:20:59 +0000 2023,"Oxxxymiron — Лондон (World Tour 2023)

https://t.co/rR77z92qzF

🌍 следующий эпизод туровых дневничков (nostalgic edition)

Video by Nick Denisov

🌎 мировой тур продолжается
3 НОЯБРЯ — ТОРОНТО, КАНАДА
билеты: https://t.co/NElSz01tJ5 https://t.co/24lAwET7zC",421,14,38677,26,1,https://x.com/norimyxxxo/status/1719781597975855215,https://pbs.twimg.com/ext_tw_video_thumb/1719772917490434048/pu/img/t3wrgkOu8t6opLFn.jpg
Tue Oct 31 00:22:00 +0000 2023,"уважаемые!

уже через сутки выступлю в Сиэтле (почему на английском два Т, а по-русски одно?)

будет мерч (Ванкувер, 1000 извинений, что его не было — случился косяк на границе)

билеты эз южуал: https://t.co/NElSz01tJ5

+ на входе https://t.co/epOSx46j04",397,7,34761,17,2,https://x.com/norimyxxxo/status/1719147675193643302,https://pbs.twimg.com/media/F9ujYykaQAAcqIr.jpg
Mon Oct 30 00:19:09 +0000 2023,"отыграли Ванкувер, тоже топ, олдовые и новоиспеченные канадцы встретили сначала чуть скованно, но уже с четвертого трека все прохавали и разнесли клуб, спасибо вам! мы очень стараемся всей командой давать максимум каждому городу
знаю, что многие после концерта еще и в торонто https://t.co/s6yzk1xo9W",462,13,43278,9,1,https://x.com/norimyxxxo/status/1718784569091231907,https://pbs.twimg.com/ext_tw_video_thumb/1718782642924220416/pu/img/FDfORJQEfcpS-mt5.jpg
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151140,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Sun Oct 29 23:51:51 +0000 2023,"запоздало, но покойся с миром Гриша J Masta Badman,
легендарный персонаж в подземке

бигап в вечность за за совместные сайферы, гостеприимство на районе, подвеску gunfinger, идейное продвижение uk музыки и уникальность стиля

на ютубе много всего, диггайте, для этого и пишу такие https://t.co/htBRn3GFp1",522,15,58231,10,9,https://x.com/norimyxxxo/status/1718777699202957408,https://pbs.twimg.com/media/F9pTBQEaIAAZCpi.jpg
Thu Oct 26 20:41:17 +0000 2023,"немного искусственно выглядит после каждого концерта писать, что был разъеб, но что поделать, если реально везде разъеб? Сан Франциско, толпа была крейзи, спасибо всем городам, что так принимаете

дальше Канада, где я вообще ни разу не был
Ванкувер + Торонто, жду пиздец как https://t.co/hy347YCXKi",778,13,58721,31,1,https://x.com/norimyxxxo/status/1717642576982126879,https://pbs.twimg.com/media/F9ZJcp9aIAAq8k2.jpg
Wed Oct 25 01:54:51 +0000 2023,"сан-франциско в среду (уже через 24 часа)
готовьтесь, высыпайтесь, разминайтесь

TICKETS: https://t.co/Dp1QwCmak4 

+ at the club https://t.co/9DPLZ7Y2pD",341,6,32004,15,0,https://x.com/norimyxxxo/status/1716996714966774107,https://pbs.twimg.com/media/F9P-wa3bcAAukTP.jpg
Sun Oct 22 22:11:33 +0000 2023,"чикаго и лос-анжелес разъеб, как всегда все ощущения фото видео в моем тг канале /norimyxxxo 

кто еще не подписан — вы че ваще, совсем уже что-ли, ну его нахуй так жить, одумайтесь https://t.co/svRUp9IrRT",773,17,55161,37,2,https://x.com/norimyxxxo/status/1716215743698833816,https://pbs.twimg.com/ext_tw_video_thumb/1716215002204651520/pu/img/guBD1-2cOSDtGghp.jpg
Sat Oct 21 23:01:17 +0000 2023,"сегодня ЛА, начало 19:00 шарп, билеты на входе https://t.co/Lt7Vemex1k",557,10,40277,14,2,https://x.com/norimyxxxo/status/1715865872882102722,https://pbs.twimg.com/media/F8_6OdZb0AAgo_A.jpg
Sun Oct 15 20:14:23 +0000 2023,boston: back 2 the roots https://t.co/aDusC1C8mq,902,26,56293,63,3,https://x.com/norimyxxxo/status/1713649542321598715,https://pbs.twimg.com/media/F8gbLDwWgAA3l6x.jpg
Sat Oct 14 18:02:12 +0000 2023,"БОСТОН РАЗЪЕБАЛ 🖤 спасибо за вашу энергию
под самый конец клуб вырубил мне майк и включил свет, тк я по их мнению слишком долго читал и пиздел с залом, пришлось прощаться без микрофона🫠 вроде никто особо не обломался, но это кек

завтра ЧИКАГО!
билеты: https://t.co/NElSz00VTx https://t.co/hXgVXVuSzW",746,13,66555,24,0,https://x.com/norimyxxxo/status/1713253888516595757,https://pbs.twimg.com/media/F8azVHjXkAAiGVP.jpg
Thu Oct 12 22:36:53 +0000 2023,"завтра: бостон, сша

билеты: https://t.co/NElSz00VTx https://t.co/8WqL6rZlU4",508,13,42578,10,2,https://x.com/norimyxxxo/status/1712598239520633003,https://pbs.twimg.com/media/F8RfA0uXIAAkqWH.jpg
Mon Oct 09 16:57:48 +0000 2023,"NEW YORK лучшие ❤️

пытаемся дать людям немного света в наглухо ебанутое время войн и террора https://t.co/FIp44jYqXA",1143,40,94049,30,14,https://x.com/norimyxxxo/status/1711425742683210113,https://pbs.twimg.com/ext_tw_video_thumb/1711425688199188481/pu/img/DD52SPlm7J5XMRtN.jpg
Sat Oct 07 17:23:44 +0000 2023,dump https://t.co/vOIP4iCpFJ,1556,40,82996,28,5,https://x.com/norimyxxxo/status/1710707494366949667,https://pbs.twimg.com/media/F72nZRkWcAAb4SK.jpg
Fri Oct 06 15:34:40 +0000 2023,"ну что ж

майами отыграли, в целом оч даже неплохо, но по шуму и отдаче зала — самый мертвый концерт мирового тура 😶‍🌫️ как мне сказали все местные: ""это майами, тут так"" 
спасибо тем, кто разъебывался

на очереди нью-йорк послезавтра. не подведите!

билеты: https://t.co/NElSz00VTx https://t.co/6LRtl1Tou6",807,12,97225,42,4,https://x.com/norimyxxxo/status/1710317657625403596,https://pbs.twimg.com/media/F7xE1-eW0AA2MFZ.jpg
Thu Oct 05 20:30:11 +0000 2023,"вот это я понимаю встреча
передавайте приветы
@ilya_mamay https://t.co/NDyBa1t8cP",1345,25,73738,35,3,https://x.com/norimyxxxo/status/1710029640595558582,https://pbs.twimg.com/media/F7s-44lWYAA6mf0.jpg
Thu Oct 05 17:19:49 +0000 2023,"MIAMI, FLORIDA 🌎 TONIGHT

Sport of Kings Club
doors 19:00

tickets sold at the entrance to the club
tickets online: https://t.co/Dp1QwClCuw

увидимся уже сегодня https://t.co/0yrkGAkmLz",347,8,35890,14,0,https://x.com/norimyxxxo/status/1709981732974313624,https://pbs.twimg.com/media/F7sTUp_WUAMkdZ0.jpg
Wed Oct 04 13:23:49 +0000 2023,"джино светлая память

время такое, что смерти отдельного человека не удивляешься и долго на ней не задерживаешься 

оставлю здесь это, тут все сказано и предсказано

https://t.co/9Jjz1XxMDj",871,34,92543,22,21,https://x.com/norimyxxxo/status/1709559951763341622,None
Fri Sep 29 15:04:32 +0000 2023,"как доказала эта слушательница, плакаты отдираются, так что по стенам БА сейчас висит много бесплатного мерча https://t.co/c6naAlxm2J",1502,24,120106,36,4,https://x.com/norimyxxxo/status/1707773360602579006,https://pbs.twimg.com/ext_tw_video_thumb/1707773252557287424/pu/img/84sLAQENyTYuZan1.jpg
Tue Sep 26 16:05:48 +0000 2023,"Oxxxymiron feat. Брутто (Каспийский Груз) — Прекрасное Далёко (2023) 🔭

Ловите что-то на взрослом.

Трек в стриминге: 
https://t.co/VHzRjxjc31

Билеты США (и не только): https://t.co/NElSz00VTx https://t.co/g1pl7KEQFw",1104,75,89521,76,13,https://x.com/norimyxxxo/status/1706701614008971336,https://pbs.twimg.com/ext_tw_video_thumb/1706700982543847424/pu/img/AicClJUEQesmhORa.jpg
Mon Sep 25 19:03:10 +0000 2023,🤔 https://t.co/l8NPv1hYpb,1985,36,150849,132,5,https://x.com/norimyxxxo/status/1706383860626297247,https://pbs.twimg.com/media/F65LE0jWEAAi1ft.jpg
Sun Sep 17 15:49:59 +0000 2023,"Ютуб разблокировал Making Of клипа 1 Класс (ограничивали 🔞 из-за жоп на обложке):

https://t.co/Eeqpdd7OzO https://t.co/FN8TuakVfS",696,17,53314,20,0,https://x.com/norimyxxxo/status/1703436144883409401,https://pbs.twimg.com/media/F6PSJKWWUAATjkL.jpg
Fri Sep 15 17:28:58 +0000 2023,"Oxxxymiron feat. 1.Kla$ — 1.Kla$ Pt. 2 😳😳😳

Стриминг (скоро все платформы):

https://t.co/rObs21pqBY

Вызываю Франка, хоть и не женоненавистник 🤫 https://t.co/wUWrloExaE",1068,68,90202,68,6,https://x.com/norimyxxxo/status/1702736276816789634,https://pbs.twimg.com/ext_tw_video_thumb/1702736183833341952/pu/img/z2jU1Lz_BQDHw9zU.jpg
Fri Sep 15 13:09:49 +0000 2023,"MAKING OF: 1.KLA$ (2023)

https://t.co/Eeqpdd7OzO

просили мейкинг офы длиннее полутора минут — вуаля 🐿️🦇

билеты америка: https://t.co/NElSz00VTx https://t.co/seENHQHZGY",767,28,59971,39,5,https://x.com/norimyxxxo/status/1702671058766045379,https://pbs.twimg.com/ext_tw_video_thumb/1702670989073498112/pu/img/rnDWz3IOpd5W0BiQ.jpg
Mon May 13 17:17:53 +0000 2024,"OXXXYMIRON — МИР ГОРИТ (2024):

https://t.co/U3a6MP9nVo

prod. by PORCHY @kingporchy

EP «НАЦИОНАЛЬНОСТЬ: НЕТ»

СКОРО https://t.co/uUdY4HgJmU",2830,243,151140,106,79,https://x.com/norimyxxxo/status/1790068965126852770,https://pbs.twimg.com/amplify_video_thumb/1790068861733081088/img/hxqXQpygxuAmR6UT.jpg
Fri Sep 08 16:08:50 +0000 2023,"У тебя есть проблема?

Сексуальный Making of Лиги:

https://t.co/S7J0QHRjMF

Следующие остановки мирового тура: https://t.co/NElSz00VTx https://t.co/q5nDSAh3dH",925,35,69227,33,4,https://x.com/norimyxxxo/status/1700179398077321612,https://pbs.twimg.com/ext_tw_video_thumb/1700179334651166721/pu/img/Lw_FeKoI8TxXB9p_.jpg
Wed Sep 06 12:50:39 +0000 2023,RT @Hiphopde: Oxxxymiron – 1.Kla$ [Video] https://t.co/ZUlcOAXnQF https://t.co/UDLpulvpAw,0,6,None,0,0,https://x.com/norimyxxxo/status/1699404746853937542,https://pbs.twimg.com/media/F5VoXLAW4AAQb3X.jpg
Sat Sep 02 15:58:59 +0000 2023,"Годный тред по моей дискографии для недоумевающих новоприбывших 

🐿️🦇",2720,81,261236,67,108,https://x.com/norimyxxxo/status/1698002589973880860,None
Sat Sep 02 13:31:56 +0000 2023,"Oxxxymiron — 1.Kla$

Трек вышел на всех площадках вкл споти и эппл:

https://t.co/9Di3LEd5vG 

Вместе с моей лучшей обложкой с конца 2000х https://t.co/wMMVHWeFUi",1371,45,68923,39,8,https://x.com/norimyxxxo/status/1697965584653193292,https://pbs.twimg.com/media/F5Bisj8XQAAH92X.jpg
Fri Sep 01 13:36:00 +0000 2023,"OXXXYMIRON — 1.Kla$

https://t.co/avorw2G8mZ

Легенды оживают, сукины дети! 

Клип в сети 🐿️🦇

Трек постепенно везде.
С праздником! https://t.co/tDlFXgURx0",1853,151,165224,106,9,https://x.com/norimyxxxo/status/1697604219421733209,https://pbs.twimg.com/ext_tw_video_thumb/1697604146034053120/pu/img/Str0Gc2FrMBOBLfr.jpg
Tue Aug 29 11:34:30 +0000 2023,"OXXXYMIRON TEASER (01.09)

https://t.co/3ysX7X2ENi

То, чего вы ждете 🐿️🦇

Directed by Daniel Zlotin

Билеты Аргентина, США, Канада: https://t.co/NElSz00VTx https://t.co/7iJHCQ1XWs",947,51,68458,43,4,https://x.com/norimyxxxo/status/1696486479487213825,https://pbs.twimg.com/ext_tw_video_thumb/1696486388793802752/pu/img/7Ts6ugnPD2-lwlqO.jpg
Fri Aug 25 14:06:07 +0000 2023,"""Я знаю, что делал прошлым летом"" 

Спасибо за волну эмоционального фидбэка всех оттенков, это заебись

Напоминаю, что трек можно слушать везде, включая Spotify и Apple music:

https://t.co/nTDKTx0pYQ",1116,32,54809,48,2,https://x.com/norimyxxxo/status/1695075082731716988,None
Thu Aug 24 21:10:01 +0000 2023,"OXXXYMIRON — Я знаю, что делал прошлым летом

Трек уже на всех стриминговых площадках:

https://t.co/nTDKTx0pYQ

🖤 https://t.co/wkUOHppXy8",1339,84,82470,77,7,https://x.com/norimyxxxo/status/1694819371934249097,https://pbs.twimg.com/ext_tw_video_thumb/1694819298777120768/pu/img/O_509eVdSvpstrHC.jpg
Thu Aug 24 12:35:42 +0000 2023,"Дамы и господа!

Вот с таким лицом я приглашаю вас на мои первые концерты в Аргентине, США и Канаде

До больших шоу в обеих Америках — всего месяц. Будем вместе с вами  дико разъебываться на краю бездны. Новые треки тоже будут. Всех жду! 

Купить билеты: https://t.co/NElSz00VTx https://t.co/0XCSkx2nJ3",1434,40,128509,82,5,https://x.com/norimyxxxo/status/1694689939621896348,https://pbs.twimg.com/media/F4S_grhXwAEx42o.jpg
Fri Aug 18 17:50:12 +0000 2023,"Спасибо: Оффенбах и Прага!

https://t.co/FapFZCIKmh

Как и обещал, выпускаю оставшиеся дневнички из весеннего тура, пока доделываю новые дропы 👀 

А тур продолжается, дальше Аргентина США Канада Южная Африка Тайланд Индонезия ОАЭ Австралия:

https://t.co/NElSz00VTx https://t.co/Dc2Bl3p8QW",773,26,56421,24,4,https://x.com/norimyxxxo/status/1692594761008378068,https://pbs.twimg.com/ext_tw_video_thumb/1692594688614608896/pu/img/6n6CQZuQGSYnNW6g.jpg
Thu Aug 17 17:44:27 +0000 2023,https://t.co/uZIQGkdDeb,1513,33,80067,41,6,https://x.com/norimyxxxo/status/1692230926816739523,https://pbs.twimg.com/ext_tw_video_thumb/1692230902317764609/pu/img/Wbc5N7AcawKDkprF.jpg
Mon Aug 14 20:29:03 +0000 2023,"Для всех любителей взрослой, осмысленной музыки и чувственной поэзии.

БИЛЕТЫ НА КОНЦЕРТЫ ТУРА: https://t.co/NElSz00VTx 🐿️🦇 https://t.co/f25T1cafE5",1253,47,72148,47,3,https://x.com/norimyxxxo/status/1691185185759297539,https://pbs.twimg.com/ext_tw_video_thumb/1691185145791844352/pu/img/PuMoZQLL7UEh4qmu.jpg
